x,y,z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-3.87,-1.1,85.98
-4.07,-1.37,85.7
-2.95,-0.58,86.99
-5.47,-1.75,84.25
-5.31,-1.04,84.59
-3.67,-0.6,86.28
-12.75,-5.27,76.17
-8.6,-5.24,79.91
-4.35,-0.35,85.64
-5.34,-2.73,83.99
5.03,6.61,81.68
-0.2,1.05,88.93
-8.16,-1.22,81.75
-9.51,-2.83,80.07
-4.93,2.63,84.41
-15.12,-5.28,73.94
2.56,6.07,83.41
-7.67,-2.41,81.96
-9.59,0.76,80.38
-12.13,-2.16,77.67
-6.26,2.82,83.13
-10.87,-1.38,79.04
-5.52,2.76,83.83
-11.93,-2.47,77.81
-3.46,1.67,86.15
-7.31,-1.08,82.61
-3.63,2.41,85.64
3.36,6.9,82.32
5.8,5.46,82.02
-4.01,1.36,85.77
2.51,5.18,84.25
-6.35,1.53,83.47
-5.68,2.65,83.73
-1.53,5.06,84.72
-9.3,-0.21,80.7
15.45,9.38,71.81
-3.1,-0.55,86.85
14.45,6.06,74.28
11.89,5.63,76.81
-68.2,-9.52,19.42
-51.79,2.84,38.06
-61.41,2.18,28.5
-64.79,2.82,25.03
-80.97,4.71,-7.69
-86.26,-2.3,-2.94
-51.02,7.33,38.02
-44.21,10.44,43.91
-81.86,7.58,2.96
-77.07,4.31,-12.16
-82.84,3.09,6.45
-65.92,10.54,21.39
-56.39,8.8,32.14
-87.05,2.47,1.61
-80.8,4.05,8.25
-74.71,6.06,13.99
-29.36,12.87,57.42
-32.5,15.14,53.32
-59.6,7.23,29.35
-38.57,3.9,51.16
12.43,17.54,68.26
11.53,27.64,59.66
8.71,12.32,74.83
-13.07,17.09,68.23
-25.38,0.47,64.62
5.31,19.86,69.39
-17.35,7.18,71.13
22.71,35.22,46.05
6.23,21.55,67.48
-4.5,18.71,70.71
-18.23,7.04,70.37
-20.52,4.75,68.89
-26.42,0.9,63.56
-5.74,7.71,80.37
13.47,24.54,61.56
37.16,27.46,40.54
10.2,0.14,79.8
-31.67,-19.04,51.82
-31.75,-18.75,51.93
-11.38,-20.44,66.35
-18.93,-19.36,62.37
-7.26,-26.79,62.09
-22.11,-32.84,48.69
-27.1,-46.5,31.07
-20.56,-27.32,54.69
-17.06,-40.92,44.13
-27.04,-48.02,29.38
-19.92,-48.71,34.41
-25.71,-51.5,26.51
-29.66,-48.75,25.83
6.79,-37.1,52.07
6.74,-41.91,47.29
-14.31,-59.11,26.74
-19.74,-51.52,31.5
-10.84,-46.24,41.73
-7.7,-43,45.97
-20.63,-46.97,35.77
-4.6,-43.01,46.63
15.23,-31.29,54.41
45.8,-16.95,39.3
13.22,-25.11,61.18
8.45,-24.47,63.93
-22.84,-25.17,54.84
-4.96,-13.4,75.67
2.09,-14.52,75.33
4.67,-6.14,82.28
14.59,0.63,75.4
-15.99,-8.03,72.01
-8.57,-4.41,80.35
-2.79,0.85,87.08
-18.4,-6.83,70.28
-7.08,0.61,82.89
-27.1,-9.08,61.18
-27.18,-6.69,61.88
-36.59,-7.58,52.37
-19.11,-6.14,69.86
-21.16,-4.16,68.4
-4.32,0.98,85.57
-7.06,-0.73,82.9
-15.85,-7.1,72.55
-12.55,-5.59,76.23
-9.84,-1.73,80
-16.18,-5.38,72.9
-14.44,-3.83,75.04
-43.92,-9.74,44.44
1.25,-5.06,84.78
-19.99,-7.05,68.71
-0.26,11.23,78.77
39.45,11.83,48.12
57.67,12.06,29.49
75.18,14.01,4.76
76.27,7.65,-11.33
64.02,7.13,-24.85
82.82,1.32,-7.06
82.9,5.26,4.76
83.47,6.52,0.19
18.88,-9.41,68.74
47.26,-0.05,42.74
66.91,13.67,-18.24
72.31,11.51,-13.25
80.77,8.99,2.07
70.48,10.89,16
56.53,5.68,32.86
57.38,5.76,31.98
-10.22,-9.38,76.05
-7.46,-8.78,78.44
18.61,-0.17,71.39
41,6.1,48.35
51.96,8.46,36.75
36.14,2.14,53.77
-16.93,-11.04,69.6
-17.03,-10.32,69.92
-12.95,-6.52,75.45
-0.27,1.53,88.44
-14.57,-5.04,74.54
0.93,-0.9,88.71
1.11,4.31,85.55
-5.4,-2.83,83.9
-17.24,-2.17,72.61
-21.57,-1.82,68.35
-27.38,-2.04,62.54
-34.15,-4.01,55.55
-2.36,11.33,78.42
18.35,20.24,62.11
-6.94,14.54,73.83
-29.77,2.21,60.13
-2.5,17.15,72.66
-44.82,9.03,43.77
26.31,39.83,38.84
44.96,44.55,5.28
-19.84,24.99,57.19
32.35,42.17,30.85
-40.97,26.48,37.54
-43.53,32.04,29.62
20.57,58.27,23.04
45.85,43.78,4.66
32.77,55.83,8.64
-39.65,34.25,31.7
10.98,73.54,12.11
-2.55,73.93,15.86
27.34,62.62,-1.48
18.11,71.71,2.47
-30.74,50.4,22.38
16.54,70.31,-10.39
-5.14,84.19,2.7
11.82,74.95,9.19
12.43,70.12,15.26
-20.28,38.77,44.29
17.86,67.37,13.43
-24.44,57.47,20.1
-11.63,32.03,55.43
-9.98,11.04,75.03
-14.41,17.95,66.66
-15.32,6.54,73.28
-2.79,5.73,83.63
2.75,6.43,83
0.69,6.83,83.13
-7.73,12.83,74.95
-9.36,12.69,74.14
-8.07,15.25,72.65
-11.04,13.8,72.19
-8.23,14.49,73.25
-0.93,15.82,74.16
-0.69,15.26,74.73
-0.06,15.78,74.22
1.21,16.31,73.65
