x,y,z
-5.62,9.5,78.94
-5.98,8.51,79.57
-2.38,8.77,80.91
-6.72,4.81,81.73
-4.1,6.84,82.01
-6.85,2.6,82.67
-25,2.69,64.84
2.57,-6.24,83.25
-20.9,0.87,69.08
-2.68,-7.68,81.86
12.22,4.45,76.97
-10.12,-5.71,78.35
20.87,4.5,68.6
-10.61,-4.58,78.43
45.69,14.03,40.93
-12.96,-2.19,76.85
38.41,16.17,47.09
-9.67,-3.19,79.8
33.93,12.97,53.01
-11.33,-6.31,76.99
37.42,12.76,49.72
-12.18,-3.5,77.31
-1.45,12.58,77.34
-14.56,-5.91,74.23
-25.33,5.31,64.04
-11.83,-1.18,78.11
-52.69,4.58,36.93
-26.05,-0.47,63.95
-62.67,2.49,27.2
-79.83,-0.03,10.17
-42.13,1.67,47.82
-61.96,1.89,27.96
-78.59,1.5,11.31
-74.19,-6.54,-14.33
-58.09,5.27,-31.36
-56.49,15.99,-28.58
-53.81,-4.07,35.88
-32.78,23.96,-47.41
-76.2,-5.04,12.81
-43.89,-7.23,45.2
-74.35,-11.95,-9.95
-24.15,13.96,-61.64
-78.14,-9.72,-6.74
-70.32,-8.32,17.71
-32.26,10.18,55.79
-39.98,23.77,-40.67
-70.1,-5.4,19.09
-73.14,-2.08,16.72
-58.2,-6,31.1
-47.11,12.41,40.23
-9.34,2.78,80.25
-58.69,9.78,29.42
-25.29,-6.26,63.84
-17.04,8.86,70.67
-10.92,-2.98,78.67
-46.53,11.81,41.06
-8.71,-3.38,80.65
-26.62,59.38,14.02
19.6,3.22,70.11
-42.22,-11.16,45.63
-21.53,-1.25,68.43
-33.52,-10.06,54.61
-11.67,-4.2,77.58
-22.3,-9.1,65.72
17.94,-2.46,71.88
-24.64,-16.82,59.5
0.36,-5.95,84.03
2.79,-2.1,86.51
-49.87,6.83,39.31
-33.76,-32.44,39.43
-28.23,-14.25,57.78
-10.29,-27.68,60.16
-12.22,-18.3,67.75
8.47,-67.36,20.83
-33.89,-52.25,14.65
-3.27,-37.33,52.48
-23.67,-61.29,-15.3
21.65,-51.99,29.55
2.85,-38.08,51.77
-0.97,-80.06,9.89
-10.4,-69.34,-17.65
-18.73,-53.29,30.27
-0.12,-60.66,29.34
4.81,-68.51,20.89
-40.72,-47.91,-8.85
30.07,-53.35,18.93
-19.81,-51.69,31.27
17.07,-72.75,-2.36
-23.58,-50.1,30.09
62.66,-12.85,-23.7
34.24,-23.36,46.5
-15.18,-35.07,50.84
-53.12,-32.37,15.73
6.31,-22.91,66.14
19.9,-12.98,65.93
42.9,3.82,46.84
-6.98,-9.31,78.33
48.01,12.57,39.24
-24.67,3.49,65.05
-1.61,-3.62,86.03
-28.01,-6.98,60.98
5.26,-0.2,84.74
-6.8,-1.32,83.07
-5.81,-1.53,83.99
-11.15,3.51,78.3
-5.35,-0.67,84.61
-25.49,10.86,61.98
5.32,8.4,80.04
28.28,57.14,15.33
-35.6,-7.68,53.33
-9.6,6.04,78.63
-48.47,2.92,41.38
-6.89,2.82,82.54
56.66,31.35,-10.2
-15.22,-12.16,70.32
8.02,75.12,12.45
57.69,7.37,31.26
2.73,-12.39,77.31
53.98,7.04,35.11
11.7,-9.82,74.64
33.08,45.1,-26.59
48.83,16.27,-36.56
85.38,-4.62,0.04
61.77,12.54,-24.85
76.59,3.75,-12.86
38.99,7.61,-49.98
73.91,1.18,-16.04
50.69,11.66,-36.9
53.08,-2.09,-36.84
38,-10.14,-50.18
55.4,-4.44,-34.23
55.97,1.8,-33.97
66.75,-0.55,-23.24
-30.03,-22.62,50.86
55.61,-0.12,34.39
72.82,15.78,6.62
61.02,10.14,26.84
12.27,-7.07,75.78
17.33,10.18,69.74
-4.91,-9.51,79.28
-1.36,-4.59,85.21
-8.55,-6.18,79.42
6.79,2.27,82.83
-14.12,-7.29,74.04
0.6,-1.56,88.33
-9.48,-7.2,78.05
-25.01,-13.74,60.99
-4.03,-3.89,84.39
-12.54,-12.72,71.99
-33.18,-19.24,50.3
-13.91,-10.46,72.47
-4.56,1.44,85.21
42.82,29.39,33.03
-49.84,-23.94,30.08
-30.32,-17.32,54.12
-20.6,-9.52,67.12
-48.57,-4.94,41
69.62,16.23,-11.99
-23.13,3.17,66.63
-42.64,20.97,39.99
-14.7,18.72,65.85
53.5,36.38,2.53
-32.55,32.87,40.16
-51.7,18.88,-31.91
49.86,32.32,-21.11
25.96,49.09,-29.16
-5.3,71.16,18.02
-7.42,79.95,6.74
-28.76,54.72,-18.63
20.91,68.09,-6.24
-1.88,82.07,7.7
17.59,56.53,-27.47
-47.37,41.85,6.66
-32.62,17.07,52.14
-59.12,6.16,30.13
22.6,31.37,49.68
24.46,50.62,28.73
42.49,23.01,38.7
-14.47,1.84,75.41
12.06,12.27,72.66
63.74,23.36,11.32
-44.76,-13.54,42.1
0.82,-0.12,89.17
-15,-11.3,71.06
-20.55,-10.98,66.46
25.44,14.38,60.25
-7.51,-35.43,53.54
-31,-20.77,51.29
25.22,-3.1,64.56
1.67,-9.98,79.87
-32.58,-16.1,52.72
27.43,1.4,62.52
5.72,-6.82,81.08
-22.48,-24.84,55.38
